policy,mean_reward,fairness,n_compliant,total_unserved,total_wasted
equal_split,-13.486836396305751,0.7609698135373784,3,34.10498351651865,7.949796845616008
priority_based,-19.150153908727077,0.5307611135078775,1,34.1434900815218,7.988303410619139
demand_proportional,2.5226156833958178,0.930365014599852,4,27.932074011711315,1.77688734080867
deficit_chasing,-29.943791501445432,0.5598960459807343,0,47.03930835527777,20.884121684375117
